Headings,Names,Codes,English Name,Nepali Name
7.5,Approved Post Description,view_approved_post_description,View Approved Post Description,स्वीकृत पद विवरण हेर्ने 
7.5.1,Create,create_approved_post_description,Create Approved Post Description,स्वीकृत पद विवरण थप्ने 
7.5.2,Update,update_approved_post_description,Update Approved Post Description,स्वीकृत पद विवरण सच्याउने 
7.5.3,Delete,delete_approved_post_description,Delete Approved Post Description,स्वीकृत पद विवरण मेटाउने 
7.6,Representative Details ,view_representative_details ,View Representative Details ,जनप्रतिनिधिको विवरण हेर्ने 
7.6.1,Create,create_representative_details ,Create Representative Details ,जनप्रतिनिधिको विवरण थप्ने 
7.6.2,Update,update_representative_details ,Update Representative Details ,जनप्रतिनिधिको विवरण सच्याउने 
7.6.3,Delete,delete_representative_details ,Delete Representative Details ,जनप्रतिनिधिको विवरण मेटाउने 
7.7,Representative Post,view_representative_post,View Representative Post,जनप्रतिनिधिको पद हेर्ने 
7.7.1,Create,create_representative_post,Create Representative Post,जनप्रतिनिधिको पद
7.7.2,Update,update_representative_post,Update Representative Post,जनप्रतिनिधिको पद
7.7.3,Delete,delete_representative_post,Delete Representative Post,जनप्रतिनिधिको पद
7.8,Employee Type,view_employee_type,View Employee Type,
7.8.1,Create,create_employee_type,Create Rmployee Type,
7.8.2,Update,update_employee_type,Update Employee Type,
7.8.3,Delete,delete_employee_type,Delete Employee Type,
8,Remark,,,
,,,,
9,Reports,view_reports,View Reports,प्रतिवेदन हेर्ने 
9.1,Contract Cost Report,view_contract_related_cost_report,View Contract Cost Report,ठेक्का सम्बन्धि लागत प्रतिवेदन हेर्ने 
9.2,Project Bidding Details,view_project_bidding_details,View Project Bidding Details ,आयोजनाको बोलपत्र सम्बन्धी विवरण हेर्ने 
9.3,List of projects to be completed,view_list_of_project_to_be_completed,View List of Projects To Be Completed,सम्पन्न हुन बाँकी आयोजनाको सुची हेर्ने 
9.4,List of Projects Based on Operating Procedures,view_list_of_project_based_on_operating_procedures,view List of Projects Based on Operating Procedures,संचालन प्रक्रियाको आधारमा आयोजनाको सुची हेर्ने 
9.5,Custom Report Template,view_custom_report_template,View Custom Report Template,कस्टम रिपोर्ट टेम्प्लेट हेर्ने 
9.5.1,Create,create_custom_report_template,Create Custom Report Template,कस्टम रिपोर्ट टेम्प्लेट थप्ने 
9.5.2,Update,update_custom_report_template,Update Custom Report Template,कस्टम रिपोर्ट टेम्प्लेट सच्याउने 
9.5.3,Delete,delete_custom_report_template,Delete Custom Report Template,कस्टम रिपोर्ट टेम्प्लेट मेटाउने 
9.6,Custom Report Fields Mapping,view_custom_report_template_filds_mapping,View Custom Report Fields Mapping,कस्टम रिपोर्ट टेम्प्लेट फिल्ड म्यापिंग हेर्ने 
9.6.1,Create,create_custom_report_template_filds_mapping,Create Custom Report Fields Mapping,कस्टम रिपोर्ट टेम्प्लेट फिल्ड म्यापिंग थप्ने 
9.6.2,Update,update_custom_report_template_filds_mapping,Update Custom Report Fields Mapping,कस्टम रिपोर्ट टेम्प्लेट फिल्ड म्यापिंग सच्याउने 
9.6.3,Delete,delete_custom_report_template_filds_mapping,Delete Custom Report Fields Mapping,कस्टम रिपोर्ट टेम्प्लेट फिल्ड म्यापिंग मेटाउने 
10,New Reports,view_new_reports, View New Reports,नयाँ प्रतिवेदन हेर्ने 
10.1,Report as Per Project Level ,view_report_as_per_project_level,View Report as Per Project Level ,योजना स्तरको आधारमा प्रतिवेदन हेर्ने 
10.2,Report By Plan Type,view_report_as_plan_type,View Report By Plan Type,योजनाको किसिमको आधारमा प्रतिवेदन हेर्ने 
10.3,Report Based on Thematic Work Area,view_report_based_on_thematic_work_area,View Report Based on Thematic Work Area,विषयगत कार्य श्रेत्रका आधारमा प्रतिवेदन हेर्ने 
10.4,Report on Contract Basis,view_report_on_contract_basis,View Report on Contract Basis,सम्झौताको आधारमा प्रतिवेदन
10.5,Plan Payment Details Report,view_plan_payment_details_report,View Plan Payment Details Report,योजना भुक्तानी विवरण प्रतिवेदन हेर्ने 
10.6,Physical Progress Details of The Project,view_physical_progress_details_of_the_projects,View Physical Progress Details of The Project,भौतिक पुर्वधार योजनाहरूको भौतिक प्रगती विवरण हेर्ने 
11,User Managment,view_user_management ,View User Managment,प्रगोगकर्ता व्यवस्थापन हेर्ने 
11.1,User Managment,view_user_management ,View User Managment,प्रगोगकर्ता व्यवस्थापन हेर्ने 
11.1.1,Create,create_user_management ,Create User Managment,प्रगोगकर्ता व्यवस्थापन थप्ने 
11.1.2,Update,update_user_management ,Update User Managment,प्रगोगकर्ता व्यवस्थापन सच्याउने 
11.1.3,Delete,delete_user_management ,Delete User Managment,प्रगोगकर्ता व्यवस्थापन मेटाउने 
11.1.1,User,view_user,View User ,प्रयोगकर्ता हेर्ने 
11.1.1.1,Create,create_user,Create user,प्रयोगकर्ता थप्ने 
