Headings,Names,Codes,English Name,Nepali Name
1.3.2.2,Update,update_mode_of_payment,Update Mode Of Payment,भुक्तानी बिधि सच्याउने
1.3.2.3,Delete,delete_mode_of_payment,Delete Mode Of Payment,भुक्तानी बिधि मेटाउने
1.3.3,Receipt Type,view_receipt_type,View Receipt Type,प्राप्तिको श्रोत हेर्ने  हेर्ने
1.3.3.1,Create,create_receipt_type,Create Receipt  Type,प्रप्तिको श्राेत थप्ने
1.3.3.2,Update,update_receipt_type,Update Receipt  Type,प्रप्तिको श्राेत सच्याउने
1.3.3.3,Delete,delete_receipt_type,Delete Receipt  Type,प्रप्तिको श्राेत मेटाउने 
1.3.4,Means Of Payment,view_means_of_payment,View Means Of Payment,भुक्तानी प्रणाली हेर्ने 
1.3.4.1,Create,create_means_of_payment,Create Means Of Payment ,भुक्तानी प्रणाली थप्ने 
1.3.4.2,Update,update_means_of_payment,Update Means Of Payment ,भुक्तानी प्रणाली सच्याउने
1.3.4.3,Delete,delete_means_of_payment,Delete Means Of Payment ,भुक्तानी प्रणाली मेटाउने
1.3.5,Sub-Ledger,view_sub_ledger,View Sub Ledger,सहायक खाता हेर्ने
1.3.5.1,Create,create_sub_ledger,Create Sub-Ledger,सहायक खाता थप्ने
1.3.5.2,Update,update_sub_ledger,Update Sub-Ledger,सहायक खाता सच्याउने
1.3.5.3,Delete,delete_sub_ledger,Delete Sub-Ledger,सहायक खाता नेटाउने
1.3.6,Chart Of Account Managment,view_chart_of_account_managment,View Chart Of Account Managment,हेर्ने
1.3.6.1,Create,create_chart_of_account_management,Create Chart of Account Management,लेखा शीर्षक ब्यबस्थापन
1.3.6.2,Update,update_chart_of_account_management,Update Chart of Account Management,लेखा शीर्षक ब्यबस्थापन
1.3.6.3,Delete,delete_chart_of_account_management,Delete Chart of Account Management,लेखा शीर्षक ब्यबस्थापन
1.3.7,Budget Source ,view_budget_source,View Budget Source,बजेट श्राेत  हेर्ने
1.3.7.1,Create,create_budget_source,Create Budget Source ,बजेट श्राेत थप्ने
1.3.7.2,Update,Update_budget_source,Update Budget Source ,बजेट श्राेत सच्याउने
1.3.7.3,Delete,delete_budget_source,Delete Budget Source ,बजेट श्राेत मेटाउने
1.3.8,Funding Agency Type,view_funding_agency_type,View Funding Agency Type,श्राेत प्रदान गर्ने निकायकाे प्रकार हेर्ने
1.3.8.1,Create,create_funding_agency_type,Fundging Agency Type,श्राेत प्रदान गर्ने निकायकाे प्रकार थप्ने
1.3.8.2,Update,update_funding_agency_type,Fundging Agency Type,श्राेत प्रदान गर्ने निकायकाे प्रकार सच्याउने
1.3.8.3,Delete,delete_funding_agency_type,Fundging Agency Type,श्राेत प्रदान गर्ने निकायकाे प्रकार मेटाउने
1.3.9,Funding Agency ,view_funding_agency,View Funding Agency,श्राेत ब्यहाेर्ने निकाय हेर्ने
1.3.9.1,Create,create_funding_agency,Create Fundging Agency ,श्राेत ब्यहाेर्ने निकाय थप्ने
1.3.9.2,Update,update_funding_agency,Update Fundging Agency ,श्राेत ब्यहाेर्ने निकाय सच्याउने
1.3.9.3,Delete,delete_funding_agency,Delete Fundging Agency ,श्राेत ब्यहाेर्ने निकाय मेटाउने
2,eBudgeting,view_ebudgeting,View eBudgeting,इ -बजेटिङ हेर्ने
2.1,Program and Budget Import,view_types_of_program_and_budget_import,View Program and Budget Import,कार्यक्रम तथा बजेट आयात (Import) हेर्ने
2.1.1,Create,create_types_of_program_and_budget_import,Create Program and Budget Import,कार्यक्रम तथा बजेट आयात (Import) थप्ने
2.1.2,Update,update_types_of_program_and_budget_import,Update Program and Budget Import,कार्यक्रम तथा बजेट आयात (Import) सच्याउने
2.1.3,Delete,delete_types_of_program_and_budget_import,Delete Program and Budget Import,कार्यक्रम तथा बजेट आयात (Import) मेटाउने
2.2,eBudgeting,view_types_of_ebudgeting,View eBudgeting,eBudgeting हेर्ने
2.2.1,Create,create_types_of_ebudgeting,CreateeBudgeting,eBudgeting थप्ने
2.2.2,Update,update_types_of_ebudgeting,Update eBudgeting,eBudgeting सच्याउने
2.2.3,Delete,delete_types_of_ebudgeting,Delete eBudgeting,eBudgeting मेटाउने
3,Budget Process Management,view_budget_process_management,View Budget Process Management,बजेट प्रक्रिया व्यवस्थापन हेर्ने
3.1,Budget Process,view_budget-process,View Budget Process ,बजेट प्रक्रिया हेर्ने
3.1.1,Expenditure Budget Limit (Ward),view_expenditure_budget_limit_ward,View Expenditure Budget Limit (Ward),व्यय बजेट सिमा (वडा) हेर्ने 
3.1.1.1,Create,create_expenditure_budget_limit_ward,Create Expenditure Budget Limit (Ward),व्यय बजेट सिमा (वडा) थप्ने 
3.1.1.2,Update,update_expenditure_budget_limit_ward,Update Expenditure Budget Limit (Ward),व्यय बजेट सिमा (वडा) सच्याउने 
3.1.1.3,Delete,delete_expenditure_budget_limit_ward,Delete Expenditure Budget Limit (Ward),व्यय बजेट सिमा (वडा) मेटाउने 
3.1.2,Income Budget Limit,view_income_budget_limit,View Income Budget Limit,आय बजेट सिमा हेर्ने 
3.1.2.1,Create,create_income_budget_limit,Create Income Budget Limit,आय बजेट सिमा थप्ने 
3.1.2.2,Update,update_income_budget_limit,Update Income Budget Limit,आय बजेट सिमा सच्याउने 
3.1.2.3,Delete,delete_income_budget_limit,Delete Income Budget Limit,आय बजेट सिमा मेटाउने 
3.1.3,Expenditure Budget Limit (Ward),view_expenditure_budget_limit_ward,View Expenditure Budget Limit (Ward),व्यय बजेट सिमा (वडा) हेर्ने 
3.1.3.1,Create,create_expenditure_budget_limit_ward,Create Expenditure Budget Limit (Ward),व्यय बजेट सिमा (वडा) थप्ने 
3.1.3.2,Update,update_expenditure_budget_limit_ward,Update Expenditure Budget Limit (Ward),व्यय बजेट सिमा (वडा) सच्याउने 
3.1.3.3,Delete,deletedelete_expenditure_budget_limit_ward,Delete Expenditure Budget Limit (Ward),व्यय बजेट सिमा (वडा) मेटाउने 
3.1.4,Expenditure Budget Estimates,view_expenditure_budget_estimates,View Expenditure Budget Estimates,व्यय बजेट अनुमान हेर्ने 
3.1.4.1,Create,create_expenditure_budget_estimates,Create Expenditure Budget Estimates,व्यय बजेट अनुमान थप्ने 
3.1.4.2,Update,update_expenditure_budget_estimates,Update Expenditure Budget Estimates,व्यय बजेट अनुमान सच्याउने 
3.1.4.3,Delete,delete_expenditure_budget_estimates,Delete Expenditure Budget Estimates,व्यय बजेट अनुमान मेटाउने 
3.1.5,Estimate Financial Arrangements,view_estimate_financial_arrangments,View Estimate Financial Arrangements,वित्तीय व्यवस्था अनुमान हेर्ने 
3.1.5.1,Create,create_estimate_financial_arrangments,Create Estimate Financial Arrangements,वित्तीय व्यवस्था अनुमान थप्ने 
3.1.5.2,Update,update_estimate_financial_arrangments,Update Estimate Financial Arrangements,वित्तीय व्यवस्था अनुमान सच्याउने 
3.1.5.3,Delete,delete_estimate_financial_arrangments,Delete Estimate Financial Arrangements,वित्तीय व्यवस्था अनुमान मेटाउने 
3.2,Budget Management,view_budget_managment,View Budget Management,बजेट व्यवस्थापन हेर्ने
3.2.1,Local Leval / Office,view_local_leval_office,View Local Leval / Office,कार्यालय / स्थानीय तह हेर्ने 
3.2.2,Details of Budget Revisions,view_details_of_budget_revisions,View Details of Budget Revisions,बजेट संशोधनको विवरण हेर्ने 
3.2.2.1,Create,create_details_of_budget_revisions,Create Details of Budget Revisions,बजेट संशोधनको विवरण थप्ने 
3.2.2.2,Update,update_details_of_budget_revisions,Update Details of Budget Revisions,बजेट संशोधनको विवरण सच्याउने 
3.2.2.3,Delete,delete_details_of_budget_revisions,Details Details of Budget Revisions,बजेट संशोधनको विवरण मेटाउने 
3.2.3,Budget Transfer,view_budget_transfer,View Budget Transfer,बजेट रकमान्तर हेर्ने 
3.2.3.1,Create,create_budget_transfer,Create Budget Transfer,बजेट रकमान्तर थप्ने 
3.2.3.2,Update,update_budget_transfer,Update Budget Transfer,बजेट रकमान्तर सच्याउने 
3.2.3.3,Delete,delete_budget_transfer,Delete Budget Transfer,बजेट रकमान्तर मेटाउने 
4,Account Management,view_account_management,View Account Management,खाता ब्यबस्थापन हेर्ने 
4.1,Banks tatha bittiya sastha,view_bank_tatha_bittya_sastha,Baika tatha bittiya sastha,बै‌क तथा बित्तिय सस्था हेर्ने
4.1.1,List of Banks and Financinal Institutions,view_list_of_bank_and_financinal_institutions,View List of Banks and Financinal Institutions,बै‌क तथा बित्तिय सस्थाको नामावली हेर्ने
4.1.1.1,Create,create_list_of_bank_and_financinal_institutions,Create List of Banks and Financinal Institutions,बै‌क तथा बित्तिय सस्थाको नामावली थप्ने
4.1.1.2,Update,update_list_of_bank_and_financinal_institutions,Update List of Banks and Financinal Institutions,बै‌क तथा बित्तिय सस्थाको नामावली सच्याउने
4.1.1.3,Delete,delete_list_of_bank_and_financinal_institutions,Delete List of Banks and Financinal Institutions,बै‌क तथा बित्तिय सस्थाको नामावली मेटाउने
4.1.2,View Types Of Banks and Financial Institutions,view_types_of_bank_and_financinal_institutions,View Types Of Banks and Financial Institutions,बै‌क तथा बित्तिय सस्थाको प्रकार हेर्ने
4.1.2.1,Create,create_types_of_bank_and_financinal_institutions,create Types Of Banks and Financial Institutions,बै‌क तथा बित्तिय सस्थाको प्रकार हेर्ने
4.1.2.2,Update,update_types_of_bank_and_financinal_institutions,updateTypes Of Banks and Financial Institutions,बै‌क तथा बित्तिय सस्थाको प्रकार हेर्ने
4.1.2.3,Delete,delete_types_of_bank_and_financinal_institutions,delete Types Of Banks and Financial Institutions,बै‌क तथा बित्तिय सस्थाको प्रकार हेर्ने
4.1.3,Banks and Financial Institution Accounts,view_banks_and_financial_institution_ accounts,View Banks and Financial Institution Accounts,बै‌क तथा बित्तिय सस्थाको खाता हेर्ने
4.1.3.1,Create,create_banks_and_financial_institutio _accounts,Create Banks and Financial Institution Accounts,बै‌क तथा बित्तिय सस्थाको खाता थप्ने
4.1.3.2,Update,update_banks_and _financial _institution_accounts,Update Banks and Financial Institution Accounts,बै‌क तथा बित्तिय सस्थाको खाता सच्याउने
4.1.3.3,Delete,delete_banks_and_financial_institution_accounts,Delete Banks and Financial Institution Accounts,बै‌क तथा बित्तिय सस्थाको खाता मेटाउने
4.2,Executive Agency Details,view_executive_agency_details,View Executive Agency Details,कार्यान्वयन गर्ने निकायको बिबरण हेर्ने
4.2.1,Create,create_executive_agency_details,Create Executive Agency Details,कार्यान्वयन गर्ने निकायको बिबरण थप्ने 
4.2.2,Update,update_executive_agency_details,Update Executive Agency Details,कार्यान्वयन गर्ने निकायको बिबरण सच्याउने 
4.2.3,Delete,delete_executive_agency_details,Delete Executive Agency Details,कार्यान्वयन गर्ने निकायको बिबरण मेटाउने 
4.3,Description of form and association,view_description_of_form _and_association,View Description of form and association,फर्म तथा स‌घ स‌स्थाको बिबरण हेर्ने
4.3.1,Institutional Type,view _institutional type,View Institutional Type,स‌स्थासँग सम्बन्धित प्रकार हेर्ने
4.3.1.1,Create,create_institutional_type,Create Institutional Type,स‌स्थासँग सम्बन्धित प्रकार थप्ने
4.3.1.2,Update,update_institutional_type,Update Institutional Type,स‌स्थासँग सम्बन्धित प्रकार सच्याउने
4.3.1.3,Delete,delete_Institutional_type,Delete Institutional Type,स‌स्थासँग सम्बन्धित प्रकार मेटाउने
4.3.2,Form Organization,view_firm_organization,View Form Organization,फर्म / संस्था हेर्ने 
4.3.2.1,Create,create_firm_organization,Create Form Organization,फर्म / संस्था थप्ने
4.3.2.2,Update,update_firm_organization,Update Form Organization,फर्म / संस्था सच्याउने
4.3.2.3,Delete,delete_firm_organization,Delete Form Organization,फर्म / संस्था मेटाउने
4.4,Consumer Committee,view_consumer_committee,View Consumer Committee,उपभाेक्ता समिति हेर्ने
4.4.1,Type of Memembership,view_type_of_membership,View Type of Memembership,सदस्यताको प्रकार हेर्ने
4.4.1.1,Create,create_type_of_membership,Create Type of Memembership,सदस्यताको प्रकार थप्ने
4.4.1.2,Update,update_type_of_membership,UpdateType of Memembership,सदस्यताको प्रकार सच्याउने 
4.4.1.3,Delete,delete_type_of_membership,Delete Type of Memembership,सदस्यताको प्रकारमेटाउने 
4.4.2,Roster of Consumer Committee,view_roster_of_consumer_committee,View Roster of Consumer Committee,उपभोक्ता समितिको नामावली हेर्ने 
4.4.2.1,Create,create_roster_of_consumer_committee,Create Roster of Consumer Committee,उपभोक्ता समितिको नामावली थप्ने 
4.4.2.2,Update,update_roster_of_consumer_committee,Update Roster of Consumer Committee,उपभोक्ता समितिको नामावली सच्याउने 
4.4.3.3,Delete,delete_roster_of_consumer_committee,Delete Roster of Consumer Committee,उपभोक्ता समितिको नामावली मेटाउन 
4.4.3,Monitoring /Jachpass Committee,view_monitoring_jachpass_committee,View Monitoring /Jachpass Committee,अनुगमन/जांचपास समिति हेर्ने 
4.4.3.1,Create,create_monitoring_jachpass_committee,Create Monitoring /Jachpass Committee,अनुगमन/जांचपास समिति थप्ने 
4.4.3.2,Update,update_monitoring_jachpass_committee,Update Monitoring /Jachpass Committee,अनुगमन/जांचपास समिति सच्याउने 
4.4.3.3,Delete,delete_monitoring_jachpass_committee,Delete Monitoring /Jachpass Committee,अनुगमन/जांचपास समिति मेटाउने 
4.4.4,User Committee Member ,view_roster_of_consumer_committee_members ,View User Committee Member ,उपभोक्ता समिति सदस्य हेर्ने 
4.4.4.1,Create,create_roster_of_consumer_committee_members,Create User Committee Member ,उपभोक्ता समिति सदस्य थप्ने 
4.4.4.2,Update,update_roster_of_consumer_committee_members,Update User Committee Member ,उपभोक्ता समिति सदस्य सच्याउने 
4.4.4.3,Delete,delete_roster_of_consumer_committee_members,Delete User Committee Member ,उपभोक्ता समिति सदस्य मेटाउने 
4.4.5,Monitoring committee Members,view_monitoring_jachpass_committee_members,View Monitoring committee Members,अनुगमन/जांचपास समिति सदस्य हेर्ने 
4.4.5.1,Create,create_monitoring_jachpass_committee_members,Create Monitoring committee Members,अनुगमन/जांचपास समिति थप्ने 
4.4.5.2,Update,update_monitoring_jachpass_committee_members,Update Monitoring committee Members,अनुगमन/जांचपास समिति सच्याउने 
4.4.5.3,Delete,delete_monitoring_jachpass_committee_members,Delete Monitoring committee Members,अनुगमन/जांचपास समिति हेर्ने मेटाउने 
5,Project Formulations,vew_project_formulations,View Project Formulation,योजना तर्जुमा हेर्ने 
5.1,Project Type ,view_project_type,View Project Type  ,आयोजनाको प्रकार हेर्ने 
5.1.1,Create,create_project_type,Create Project Type ,आयोजनाको प्रकार थप्ने 
5.1.2,Update,update_project_type,Update Project Type ,आयोजनाको प्रकार सच्याउने 
5.1.3,Delete,delete_project_type,Delete Project Type ,आयोजनाको प्रकार मेटाउने 
5.2,Work Plan Program Mun Rural Mun ,view_work_plan_program_mun_rural_mun,View Work Plan Program Mun Rural Mun ,काम आयोजना/कार्यक्रम (न.पा./गा.पा.) हेर्ने 
5.2.1,Create,create_work_plan_program_mun_rural_mun,Create Work Plan Program Mun Rural Mun ,काम आयोजना/कार्यक्रम (न.पा./गा.पा.) थप्ने 
